antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,is_rule_form
"frozenset({'b_meal_11', 'b_max_14'})",frozenset({'insulin_bolus_5'}),0.005376344086021506,0.10215053763440861,0.005376344086021506,1.0,9.789473684210526,0.004827147647126836,inf,2,True
"frozenset({'b_meal_10', 'b_max_14'})",frozenset({'insulin_bolus_3'}),0.005376344086021506,0.13172043010752688,0.005376344086021506,1.0,7.591836734693878,0.004668169730604695,inf,2,True
"frozenset({'b_max_9', 'b_meal_3'})",frozenset({'insulin_bolus_2'}),0.005376344086021506,0.19086021505376344,0.005376344086021506,1.0,5.23943661971831,0.004350213897560412,inf,2,True
"frozenset({'b_meal_9', 'b_max_14'})",frozenset({'insulin_bolus_4'}),0.008064516129032258,0.12365591397849462,0.005376344086021506,0.6666666666666667,5.391304347826088,0.004379118973291711,2.629032258064517,2,True
"frozenset({'b_max_12', 'b_meal_9'})",frozenset({'insulin_bolus_2'}),0.008064516129032258,0.19086021505376344,0.005376344086021506,0.6666666666666667,3.4929577464788735,0.003837148803329865,2.42741935483871,2,True
"frozenset({'b_max_12', 'b_meal_5'})",frozenset({'insulin_bolus_7'}),0.008064516129032258,0.07795698924731183,0.005376344086021506,0.6666666666666667,8.551724137931036,0.004747658688865765,2.766129032258065,2,True
"frozenset({'b_max_9', 'b_meal_4'})",frozenset({'insulin_bolus_4'}),0.008064516129032258,0.12365591397849462,0.005376344086021506,0.6666666666666667,5.391304347826088,0.004379118973291711,2.629032258064517,2,True
"frozenset({'b_max_10', 'b_meal_4'})",frozenset({'insulin_bolus_6'}),0.008064516129032258,0.10752688172043011,0.005376344086021506,0.6666666666666667,6.2,0.004509191814082553,2.6774193548387104,2,True
"frozenset({'b_max_12', 'b_meal_11'})",frozenset({'insulin_bolus_5'}),0.016129032258064516,0.10215053763440861,0.008064516129032258,0.5,4.894736842105263,0.006416926812348248,1.7956989247311828,2,True
"frozenset({'b_meal_10', 'b_max_12'})",frozenset({'insulin_bolus_3'}),0.010752688172043012,0.13172043010752688,0.005376344086021506,0.5,3.795918367346939,0.003959995375187883,1.7365591397849462,2,True
"frozenset({'b_max_10', 'b_meal_8'})",frozenset({'insulin_bolus_6'}),0.010752688172043012,0.10752688172043011,0.005376344086021506,0.5,4.65,0.004220141056769569,1.7849462365591398,2,True
"frozenset({'b_meal_3', 'b_max_6'})",frozenset({'insulin_bolus_2'}),0.010752688172043012,0.19086021505376344,0.005376344086021506,0.5,2.619718309859155,0.003324083709099318,1.618279569892473,2,True
"frozenset({'b_max_13', 'b_meal_12'})",frozenset({'insulin_bolus_2'}),0.026881720430107527,0.19086021505376344,0.013440860215053764,0.5,2.619718309859155,0.008310209272748295,1.618279569892473,2,True
