antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,is_rule_form
"frozenset({'b_max_11', 'b_meal_11'})",frozenset({'insulin_bolus_2'}),0.02956989247311828,0.19086021505376344,0.008064516129032258,0.2727272727272727,1.4289372599231753,0.0024208000924962423,1.1125672043010753,2,True
"frozenset({'b_max_8', 'b_meal_5'})",frozenset({'insulin_bolus_2'}),0.02956989247311828,0.19086021505376344,0.008064516129032258,0.2727272727272727,1.4289372599231753,0.0024208000924962423,1.1125672043010753,2,True
"frozenset({'b_meal_6', 'b_max_8'})",frozenset({'insulin_bolus_1'}),0.04032258064516129,0.09408602150537634,0.010752688172043012,0.2666666666666667,2.834285714285715,0.006958896982310095,1.2353372434017595,2,True
"frozenset({'b_meal_10', 'b_max_10'})",frozenset({'insulin_bolus_2'}),0.021505376344086023,0.19086021505376344,0.005376344086021506,0.25,1.3098591549295775,0.0012718233321771305,1.078853046594982,2,True
"frozenset({'b_meal_7', 'b_max_7'})",frozenset({'insulin_bolus_2'}),0.021505376344086023,0.19086021505376344,0.005376344086021506,0.25,1.3098591549295775,0.0012718233321771305,1.078853046594982,2,True
"frozenset({'b_max_10', 'b_meal_9'})",frozenset({'insulin_bolus_2'}),0.021505376344086023,0.19086021505376344,0.005376344086021506,0.25,1.3098591549295775,0.0012718233321771305,1.078853046594982,2,True
"frozenset({'b_meal_7', 'b_max_7'})",frozenset({'insulin_bolus_4'}),0.021505376344086023,0.12365591397849462,0.005376344086021506,0.25,2.0217391304347827,0.0027170771187420514,1.168458781362007,2,True
"frozenset({'b_meal_10', 'b_max_13'})",frozenset({'insulin_bolus_3'}),0.021505376344086023,0.13172043010752688,0.005376344086021506,0.25,1.8979591836734695,0.002543646664354261,1.157706093189964,2,True
"frozenset({'b_meal_10', 'b_max_10'})",frozenset({'insulin_bolus_4'}),0.021505376344086023,0.12365591397849462,0.005376344086021506,0.25,2.0217391304347827,0.0027170771187420514,1.168458781362007,2,True
"frozenset({'b_max_9', 'b_meal_8'})",frozenset({'insulin_bolus_2'}),0.03494623655913978,0.19086021505376344,0.008064516129032258,0.23076923076923078,1.2091007583965332,0.0013946699040351491,1.0518817204301076,2,True
"frozenset({'b_max_10', 'b_meal_7'})",frozenset({'insulin_bolus_5'}),0.03494623655913978,0.10215053763440861,0.008064516129032258,0.23076923076923078,2.2591093117408905,0.004494739276216904,1.1672043010752688,2,True
"frozenset({'b_max_9', 'b_meal_8'})",frozenset({'insulin_bolus_5'}),0.03494623655913978,0.10215053763440861,0.008064516129032258,0.23076923076923078,2.2591093117408905,0.004494739276216904,1.1672043010752688,2,True
"frozenset({'b_meal_10', 'b_max_11'})",frozenset({'insulin_bolus_1'}),0.03494623655913978,0.09408602150537634,0.008064516129032258,0.23076923076923078,2.452747252747253,0.004776563764597064,1.1776881720430108,2,True
"frozenset({'b_max_11', 'b_meal_9'})",frozenset({'insulin_bolus_4'}),0.024193548387096774,0.12365591397849462,0.005376344086021506,0.22222222222222224,1.7971014492753625,0.00238466874783212,1.1267281105990783,2,True
"frozenset({'b_max_8', 'b_meal_8'})",frozenset({'insulin_bolus_7'}),0.024193548387096774,0.07795698924731183,0.005376344086021506,0.22222222222222224,2.8505747126436782,0.0034902878945542843,1.1854838709677418,2,True
"frozenset({'b_max_8', 'b_meal_8'})",frozenset({'insulin_bolus_1'}),0.024193548387096774,0.09408602150537634,0.005376344086021506,0.22222222222222224,2.361904761904762,0.0031000693721817555,1.1647465437788018,2,True
"frozenset({'b_max_11', 'b_meal_9'})",frozenset({'insulin_bolus_3'}),0.024193548387096774,0.13172043010752688,0.005376344086021506,0.22222222222222224,1.6870748299319729,0.0021895594866458558,1.1163594470046083,2,True
"frozenset({'b_meal_6', 'b_max_8'})",frozenset({'insulin_bolus_6'}),0.04032258064516129,0.10752688172043011,0.008064516129032258,0.2,1.86,0.0037287547693374955,1.1155913978494623,2,True
"frozenset({'b_max_9', 'b_meal_9'})",frozenset({'insulin_bolus_5'}),0.026881720430107527,0.10215053763440861,0.005376344086021506,0.2,1.9578947368421054,0.002630361891548156,1.1223118279569892,2,True
"frozenset({'b_max_9', 'b_meal_9'})",frozenset({'insulin_bolus_2'}),0.026881720430107527,0.19086021505376344,0.005376344086021506,0.2,1.0478873239436621,0.0002456931437160373,1.0114247311827955,2,True
"frozenset({'b_meal_7', 'b_max_8'})",frozenset({'insulin_bolus_3'}),0.026881720430107527,0.13172043010752688,0.005376344086021506,0.2,1.5183673469387757,0.0018354723089374502,1.0853494623655913,2,True
"frozenset({'b_max_9', 'b_meal_9'})",frozenset({'insulin_bolus_3'}),0.026881720430107527,0.13172043010752688,0.005376344086021506,0.2,1.5183673469387757,0.0018354723089374502,1.0853494623655913,2,True
"frozenset({'b_max_9', 'b_meal_7'})",frozenset({'insulin_bolus_2'}),0.026881720430107527,0.19086021505376344,0.005376344086021506,0.2,1.0478873239436621,0.0002456931437160373,1.0114247311827955,2,True
"frozenset({'b_max_9', 'b_meal_7'})",frozenset({'insulin_bolus_3'}),0.026881720430107527,0.13172043010752688,0.005376344086021506,0.2,1.5183673469387757,0.0018354723089374502,1.0853494623655913,2,True
"frozenset({'b_max_8', 'b_meal_5'})",frozenset({'insulin_bolus_5'}),0.02956989247311828,0.10215053763440861,0.005376344086021506,0.18181818181818182,1.7799043062200957,0.002355763672100821,1.0973715651135008,2,True
"frozenset({'b_max_8', 'b_meal_5'})",frozenset({'insulin_bolus_6'}),0.02956989247311828,0.10752688172043011,0.005376344086021506,0.18181818181818182,1.690909090909091,0.0021967857555786796,1.0908004778972522,2,True
"frozenset({'b_max_11', 'b_meal_11'})",frozenset({'insulin_bolus_1'}),0.02956989247311828,0.09408602150537634,0.005376344086021506,0.18181818181818182,1.9324675324675324,0.002594230546884033,1.1072281959378734,2,True
"frozenset({'b_max_11', 'b_meal_11'})",frozenset({'insulin_bolus_5'}),0.02956989247311828,0.10215053763440861,0.005376344086021506,0.18181818181818182,1.7799043062200957,0.002355763672100821,1.0973715651135008,2,True
"frozenset({'b_max_11', 'b_meal_11'})",frozenset({'insulin_bolus_6'}),0.02956989247311828,0.10752688172043011,0.005376344086021506,0.18181818181818182,1.690909090909091,0.0021967857555786796,1.0908004778972522,2,True
"frozenset({'b_max_8', 'b_meal_5'})",frozenset({'insulin_bolus_8'}),0.02956989247311828,0.056451612903225805,0.005376344086021506,0.18181818181818182,3.220779220779221,0.0037070759625390222,1.153225806451613,2,True
"frozenset({'b_max_11', 'b_meal_11'})",frozenset({'insulin_bolus_3'}),0.02956989247311828,0.13172043010752688,0.005376344086021506,0.18181818181818182,1.3803339517625233,0.0014813851312290441,1.061230585424134,2,True
"frozenset({'b_meal_10', 'b_max_11'})",frozenset({'insulin_bolus_8'}),0.03494623655913978,0.056451612903225805,0.005376344086021506,0.15384615384615388,2.725274725274726,0.0034035726673603893,1.1151026392961878,2,True
"frozenset({'b_meal_10', 'b_max_11'})",frozenset({'insulin_bolus_10'}),0.03494623655913978,0.02956989247311828,0.005376344086021506,0.15384615384615388,5.202797202797203,0.004342987628627587,1.1468719452590421,2,True
"frozenset({'b_max_9', 'b_meal_8'})",frozenset({'insulin_bolus_1'}),0.03494623655913978,0.09408602150537634,0.005376344086021506,0.15384615384615388,1.6351648351648356,0.0020883917215863113,1.0706256109481915,2,True
"frozenset({'b_max_9', 'b_meal_8'})",frozenset({'insulin_bolus_3'}),0.03494623655913978,0.13172043010752688,0.005376344086021506,0.15384615384615388,1.1679748822605969,0.0007732107758122338,1.0261485826001955,2,True
"frozenset({'b_meal_6', 'b_max_8'})",frozenset({'insulin_bolus_4'}),0.04032258064516129,0.12365591397849462,0.005376344086021506,0.13333333333333336,1.0782608695652176,0.00039021852237252925,1.011166253101737,2,True
